season,week,game_type,home_team,away_team,home_score,away_score,spread_line,result,home_moneyline,away_moneyline,home_spread_odds,away_spread_odds,div_game,total_line,home_win,is_tie,is_playoff,is_home_fav,spread_bucket,spread_wp_538,ml_wp_close,ml_formula_divergence,spread_open,spread_close_mkt,spread_move,ml_wp_open,ml_wp_close_mkt,ml_formula_divergence_open,home_spread_close_price,away_spread_close_price,home_is_fav_ml,fav_ml_wp,fav_wp_cal,ml_wp_cal,fav_margin,fav_spread,fav_spread_close_price,dog_spread_close_price
1999,3,REG,TB,DEN,13.0,10.0,-2.5,3.0,,,,,0,38.0,1,0,0,1,-2.5,0.5889869159604855,,,-2.5,-2.5,0.0,,,,,,,,,,-3.0,-2.5,,
1999,3,REG,ARI,SF,10.0,24.0,2.5,-14.0,,,,,0,45.5,0,0,0,0,2.5,0.41101308403951453,,,2.5,2.5,0.0,,,,,,,,,,14.0,2.5,,
1999,4,REG,ATL,BAL,13.0,19.0,-2.5,-6.0,,,,,0,36.5,0,0,0,1,-2.5,0.5889869159604855,,,-2.5,-2.5,0.0,,,,,,,,,,6.0,-2.5,,
1999,4,REG,CHI,NO,14.0,10.0,1.0,4.0,,,,,0,37.0,1,0,0,0,1.0,0.4640840730548977,,,1.0,1.0,0.0,,,,,,,,,,-4.0,1.0,,
1999,4,REG,CIN,LAR,10.0,38.0,3.5,-28.0,,,,,0,44.0,0,0,0,0,3.5,0.37667378292139303,,,3.5,3.5,0.0,,,,,,,,,,28.0,3.5,,
1999,4,REG,CLE,NE,7.0,19.0,12.0,-12.0,,,,,0,38.0,0,0,0,0,12.0,0.15097955721132328,,,12.0,12.0,0.0,,,,,,,,,,12.0,12.0,,
1999,4,REG,DAL,ARI,35.0,7.0,-7.0,28.0,,,,,1,42.5,1,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,-28.0,-7.0,,
1999,4,REG,DEN,NYJ,13.0,21.0,-5.5,-8.0,,,,,0,40.0,0,0,0,1,-5.5,0.6881562429386404,,,-5.5,-5.5,0.0,,,,,,,,,,8.0,-5.5,,
1999,4,REG,MIN,TB,21.0,14.0,-7.0,7.0,,,,,1,40.5,1,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,-7.0,-7.0,,
1999,4,REG,NYG,PHI,16.0,15.0,-9.5,1.0,,,,,1,35.5,1,0,0,1,-9.5,0.7969209049515267,,,-9.5,-9.5,0.0,,,,,,,,,,-1.0,-9.5,,
1999,4,REG,PIT,JAX,3.0,17.0,3.0,-14.0,,,,,1,42.0,0,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,14.0,3.0,,
1999,4,REG,LAC,KC,21.0,14.0,-1.0,7.0,,,,,1,38.5,1,0,0,1,-1.0,0.5359159269451023,,,-1.0,-1.0,0.0,,,,,,,,,,-7.0,-1.0,,
1999,4,REG,SEA,OAK,22.0,21.0,-3.5,1.0,,,,,1,40.5,1,0,0,1,-3.5,0.623326217078607,,,-3.5,-3.5,0.0,,,,,,,,,,-1.0,-3.5,,
1999,4,REG,SF,TEN,24.0,22.0,-1.5,2.0,,,,,0,40.5,1,0,0,1,-1.5,0.5537582446446209,,,-1.5,-1.5,0.0,,,,,,,,,,-2.0,-1.5,,
