k,baseline,observed_pos,observed_neg,observed_combined,expected_pos,expected_neg,expected_combined,observed_rate_combined,expected_rate_combined,excess_rate_combined,ratio_combined
20,gennorm,85,25,110,72.75446826775368,24.58458467458291,97.3390529423366,0.02195170624625823,0.019425075422537734,0.002526630823720496,1.1300705798438755
21,gaussian,112,22,134,73.46659949233623,18.40642959740574,91.87302908974198,0.026741169427260028,0.018334270423017756,0.008406899004242272,1.4585346899698737
21,gennorm,112,22,134,66.87464028968455,22.547783934838613,89.42242422452316,0.026741169427260028,0.01784522534913653,0.008895944078123497,1.4985055612398832
22,gaussian,42,10,52,66.73570527508241,16.380607307050894,83.1163125821333,0.010377170225503891,0.016586771618865157,-0.006209601393361266,0.6256292944735127
22,gennorm,42,10,52,61.35362221208049,20.686746179860222,82.04036839194072,0.010377170225503891,0.01637205515704265,-0.005994884931538758,0.633834306442586
23,gaussian,48,13,61,60.3134932797097,14.603385420802724,74.91687870051243,0.012173218918379565,0.014950484673820081,-0.0027772657554405162,0.8142357377681668
23,gennorm,48,13,61,56.19342414214873,18.98762603604817,75.1810501781969,0.012173218918379565,0.01500320298906344,-0.0028299840706838752,0.8113746729450513
24,gaussian,94,21,115,54.24589454446459,13.047474697216696,67.29336924168129,0.022949511075633606,0.013429129762857971,0.009520381312775635,1.7089350896814568
24,gennorm,94,21,115,51.391069741857955,17.4373505876916,68.82842032954956,0.022949511075633606,0.013735466040620547,0.009214045035013059,1.6708214346541956
25,gaussian,46,12,58,48.56629704423785,11.687158634819685,60.25345567905754,0.01157453602075434,0.012024237812623736,-0.0004497017918693949,0.9626003910703369
25,gennorm,46,12,58,46.93696044476134,16.023637518463982,62.960597963225325,0.01157453602075434,0.012564477741613515,-0.000989941720859175,0.9212110728979613
26,gaussian,33,11,44,43.29628957291285,10.498611064693101,53.79490063760595,0.008780682498503292,0.010735362330394323,-0.0019546798318910296,0.8179213917767011
26,gennorm,33,11,44,42.81971845848046,14.734998126507088,57.554716584987546,0.008780682498503292,0.011485674832366304,-0.0027049923338630104,0.7644899082254689
27,gaussian,44,6,50,38.44669934460152,9.46008031193497,47.906779656536486,0.009978048293753742,0.009560323220222808,0.0004177250735309348,1.043693614107871
27,gennorm,44,6,50,39.02470594817744,13.560728348678271,52.58543429685571,0.009978048293753742,0.010494000059240812,-0.0005159517654870703,0.9508336418358666
28,gaussian,66,16,82,34.018838893086226,8.551963473884825,42.57080236697105,0.016363999201756137,0.008495470438429666,0.007868528763326471,1.926202830126135
28,gennorm,66,16,82,35.53481892553984,12.490890449268637,48.02570937480847,0.016363999201756137,0.009584056949672414,0.006779942252083722,1.7074188193670385
29,gaussian,28,2,30,30.005880475256347,7.756793900555814,37.76267437581216,0.005986828976252245,0.007535955772463013,-0.0015491267962107684,0.7944352590455213
29,gennorm,28,2,30,32.333923249643085,11.516287610264722,43.850210859907804,0.005986828976252245,0.008750790433028897,-0.002763961456776652,0.6841472232788957
30,gaussian,19,7,26,26.394282974067792,7.059163387821462,33.453446361889256,0.005188585112751946,0.0066760020678286285,-0.0014874169550766825,0.7771994466202337
30,gennorm,19,7,26,29.40476483692596,10.628433296439141,40.033198133365104,0.005188585112751946,0.007989063686562584,-0.0028004785738106374,0.6494609776961753
31,gaussian,55,12,67,23.16520612219103,6.445598270609363,29.610804392800393,0.013370584713630014,0.005909160724965155,0.007461423988664859,2.2626876025120906
31,gennorm,55,12,67,26.72965622296804,9.819516952827303,36.549173175795346,0.013370584713630014,0.007293788300897095,0.006076796412732919,1.8331468041080252
32,gaussian,22,1,23,20.295858576227268,5.904405855593678,26.200264431820948,0.004589902215126721,0.005228550076196557,-0.0006386478610698359,0.8778537354022222
32,gennorm,22,1,23,24.29102066982323,9.082367318986051,33.373387988809284,0.004589902215126721,0.006660025541570402,-0.0020701233264436808,0.6891718637530097
