number,signed_margin,fav_spread,distance,n_bucket,empirical_rate,baseline_rate,excess_rate
4,-4,4.0,8.0,248,0.008064516129032258,0.02797163257577041,-0.019907116446738152
4,-4,4.5,8.5,189,0.010582010582010581,0.0269491302395957,-0.016367119657585118
4,-4,5.0,9.0,115,0.02608695652173913,0.025724264728085436,0.00036269179365369317
4,-4,5.5,9.5,213,0.03286384976525822,0.024557381376306968,0.00830646838895125
4,-4,6.0,10.0,242,0.008264462809917356,0.02364694222302945,-0.015382479413112094
4,-4,6.5,10.5,239,0.012552301255230125,0.022839220049510826,-0.010286918794280701
4,-4,7.0,11.0,337,0.017804154302670624,0.0219098773393888,-0.004105723036718176
4,-4,7.5,11.5,230,0.02608695652173913,0.020810640689889238,0.005276315831849891
4,-4,8.0,12.0,56,0.017857142857142856,0.019756841454301243,-0.001899698597158387
4,-4,8.5,12.5,58,0.0,0.018877379462191073,-0.018877379462191073
4,-4,9.0,13.0,109,0.009174311926605505,0.01820653499670541,-0.009032223070099904
4,-4,9.5,13.5,129,0.007751937984496124,0.01721864485900798,-0.009466706874511857
4,-4,10.0,14.0,163,0.018404907975460124,0.016337548031022994,0.0020673599444371304
4,-4,10.5,14.5,108,0.009259259259259259,0.015454879265404682,-0.006195620006145423
4,-4,11.0,15.0,58,0.017241379310344827,0.01458508739585818,0.0026562919144866477
4,-4,12.5,16.5,35,0.0,0.012249541850539086,-0.012249541850539086
4,-4,13.0,17.0,59,0.0,0.011866003435489617,-0.011866003435489617
4,-4,13.5,17.5,50,0.02,0.010805445052976214,0.009194554947023786
4,-4,14.0,18.0,79,0.012658227848101266,0.010311950525501915,0.002346277322599351
5,5,1.0,4.0,218,0.03211009174311927,0.020090522475791663,0.012019569267327605
5,5,1.5,3.5,102,0.0392156862745098,0.01289229354563673,0.026323392728873074
5,5,2.0,3.0,107,0.04672897196261682,0.012325972176643118,0.034402999785973706
5,5,2.5,2.5,420,0.02857142857142857,0.01860881690348901,0.009962611667939561
5,5,3.0,2.0,784,0.021683673469387755,0.027686108485673207,-0.0060024350162854526
5,5,3.5,1.5,517,0.03481624758220503,0.034778653482876225,3.759409932880403e-05
5,5,4.0,1.0,248,0.024193548387096774,0.03690019188444165,-0.012706643497344877
5,5,4.5,0.5,189,0.021164021164021163,0.03687077275229533,-0.01570675158827417
5,5,5.0,0.0,115,0.008695652173913044,0.03573533206014476,-0.027039679886231717
5,5,5.5,0.5,213,0.028169014084507043,0.03452754795604475,-0.006358533871537706
5,5,6.0,1.0,242,0.028925619834710745,0.034338429504331275,-0.00541280966962053
